Provider,Curator,Feed
A Way With Words,Julian,http://feeds.feedburner.com/awww-articles
After the Jump ,Julian,http://www.heritageradionetwork.com/programs/79-After-the-Jump.xml
All songs considered,Julian,http://www.npr.org/rss/podcast.php?id=510019
Ambient Falls,Julian,http://shatteredillusions.co.uk/podcast.xml
Astronomy Cast,Julian,http://www.astronomycast.com/feed/
Backstory,Julian,http://feeds.feedburner.com/BackStoryRadio
BBC The Inquiry,Eduardo,http://downloads.bbc.co.uk/podcasts/worldservice/inquiry/rss.xml
Big Ideas,Eduardo,http://feeds.tvo.org/tvobigideas
Blank on Blank ,Julian,http://blankonblank.org/feed/interviews/
China: as history is my witness,Julian,http://downloads.bbc.co.uk/podcasts/radio4/china/rss.xml
Cipher,Julian,http://theciphershow.com/feed/
Citizen Voice Radio,Cosmo,http://www.spreaker.com/show/918158/episodes/feed
Commonsense,Cosmo,http://feeds.feedburner.com/dancarlin/commonsense?format=xml
Cooking Issues,Cosmo,http://www.heritageradionetwork.com/programs/51-Cooking-Issues.xml
Criminal,Julian,http://feeds.feedburner.com/CriminalShow
Cry babies,Cosmo,http://feeds.feedburner.com/Crybabies
Death Sex Money,Cosmo,http://feeds.feedburner.com/deathsexmoney
Dial A Stranger,Cosmo,http://das.libsyn.com/rss
Everything is Stories,Eduardo,http://feeds.soundcloud.com/users/soundcloud:users:38740253/sounds.rss
Excess Baggage,Julian,http://downloads.bbc.co.uk/podcasts/radio4/excessbag/rss.xml
Financial Times Banking Weekly,Eduardo,http://podcast.ft.com/rss/44/
Financial Times Big Read,Eduardo,http://podcast.ft.com/rss/60/
Financial Times Hard Currency,Eduardo,http://podcast.ft.com/rss/57/
Financial Times World Weekly,Eduardo,http://podcast.ft.com/rss/45/
Freakonomics,Cosmo,http://feeds.feedburner.com/freakonomicsradio
Fugitive Waves,Julian,http://feeds.fugitivewaves.org/fugitivewaves
HBR Ideacast,Eduardo,http://feeds.harvardbusiness.org/harvardbusiness/ideacast
Headspace,Eduardo,http://feeds.soundcloud.com/users/soundcloud:users:77542725/sounds.rss
Here's The Thing With Alec Baldwin,Eduardo,http://feeds.feedburner.com/wnycheresthething
Intelligence Squared,Cosmo,http://feeds.soundcloud.com/users/soundcloud:users:2461663/sounds.rss
Invisibilia,Eduardo,http://www.npr.org/rss/podcast.php?id=510307
Lexicon Valley,Eduardo,http://feeds.feedburner.com/SlateLexiconValley
Longform,Eduardo,http://longform.libsyn.com/rss
Love + Radio,Julian,http://feeds.feedburner.com/loveplusradio
Michael Sandel the Public philosopher - ,Julian,http://downloads.bbc.co.uk/podcasts/radio4/r4sandel/rss.xml
MIT Press,Eduardo,http://feeds.feedburner.com/MITPodcastIT
My Big Break,Eduardo,http://api.npr.org/player?apiKey=MDE4NDc5OTAxMDE0MjU4NzAzOTBmODg1NA001&email=karlshiffler@gmail.com&output=Podcast
Nobel Prize Talks,Cosmo,http://podcast.nobelprize.org/rss
On Being ,Eduardo,http://www.onbeing.org/podcasts/podcast.xml
Radio Diaries,Cosmo,http://feed.radiodiaries.org/radio-diaries?id=510288
Radio Rookies,Eduardo,http://feeds.wnyc.org/radiorookies
Radiolab,Eduardo,http://feeds.wnyc.org/radiolab
Random Tape ,Julian,http://transom.org/feed/
Rare Frequency Podcast,Julian,http://feeds.feedburner.com/rarefrequency
Reply All,Eduardo,http://feeds.gimletmedia.com/hearreplyall
sadayatana ,Julian,http://feeds.feedburner.com/Sadayatana
Savage Lovecast,Julian,http://savagelove.savagelovecast.libsynpro.com/rss
Science & Creativity,Eduardo,http://sciencecreativity.pri.libsynpro.com/rss
Slate Lexicon Valley,Cosmo,http://feeds.feedburner.com/SlateLexiconValley
Slate's Culture Gabfest,Eduardo,http://feeds.feedburner.com/SlateCultureGabfest
Slate's Political Gabfest,Eduardo,http://feeds.feedburner.com/SlatePoliticalGabfest
Song Exploder,Eduardo,http://songexploder.libsyn.com/rss
SPKTRMODULE,Julian,http://spkmdl.libsyn.com/rss
Sporting Witness,Cosmo,http://downloads.bbc.co.uk/podcasts/worldservice/sw/rss.xml
StarTalk Radio,Eduardo,http://feeds.soundcloud.com/users/soundcloud:users:38128127/sounds.rss
Story Corps,Cosmo,http://www.npr.org/rss/podcast.php?id=510200
Storycorps,Julian,http://www.npr.org/rss/podcast.php?id=510200
Strangers,Eduardo,http://feeds.strangersnomore.org/StrangersNoMore
TED Talks,Eduardo,http://feeds.feedburner.com/TEDTalks_audio
Ted Talks,Cosmo,http://feeds.feedburner.com/TEDTalks_audio
The Bugle,Eduardo,http://feeds.feedburner.com/thebuglefeed
The Digested read ,Julian,http://www.theguardian.com/books/series/digestedreadpodcast/podcast.xml
The Heart,Eduardo,http://feeds.theheartradio.org/TheHeartRadio
The Inquiry,Cosmo,http://downloads.bbc.co.uk/podcasts/worldservice/inquiry/rss.xml
The Meditation Podcast,Cosmo,http://feeds.feedburner.com/themeditationpodcast/jshO
The Memory Palace,Cosmo,http://memorypalace.wm.wizzard.tv/rss
The New Yorker,Eduardo,http://feeds.newyorker.com/services/rss/feeds/campaign_trail.xml
The New Yorker: Out Loud,Eduardo,http://feeds.newyorker.com/services/rss/feeds/newyorker_outloud.xml
The Organist,Julian,http://feeds.kcrw.com/kcrw/to
The Partially Examined Life,Cosmo,http://feeds2.feedburner.com/ThePartiallyExaminedLife
The Pitch,Eduardo,http://feeds.feedburner.com/hearpitch
The Sporkful,Julian,http://feeds.wnyc.org/sporkful/
The Truth,Julian,http://feeds.feedburner.com/thetruthapm
The Why Factor,Eduardo,http://downloads.bbc.co.uk/podcasts/worldservice/whyfactor/rss.xml
Theory of Everything,Julian,http://feeds.prx.org/TOE
This is Actually Happening,Eduardo,http://feeds.misfitrad.io/happening
Transom,Eduardo,http://transom.org/feed/?post_format=audio
True Story,Cosmo,http://truestorytime.org/feed/podcast/
Twenty Sixteen by National Journal,Eduardo,http://nationaljournal2016.libsyn.com/rss
Ultima Thule,Julian,http://ultimathule.info/xml/Ultima_Thule_Ambient_Music_Radio.xml
Upvoted,Eduardo,http://upvoted.libsyn.com/rss
Vice,Eduardo,http://feeds.feedburner.com/VICE_Podcast
We have concerns,Cosmo,http://wehaveconcerns.libsyn.com/rss
Working,Julian,http://feeds.feedburner.com/SlatesWorking
Julian,Another round,http://feeds.soundcloud.com/users/soundcloud:users:141381968/sounds.rss
Julian,ESPN: Bill dont lie,http://sports.espn.go.com/espnradio/podcast/feeds/itunes/podCast?id=12515776
Julian,The mind of a murderer,http://netstorage.discovery.com/id/podcasts/2015/mindofamurderer.xml
Julian,Hot takedown from five thirty,http://sports.espn.go.com/espnradio/podcast/feeds/itunes/podCast?id=12474672
Julian,open run,http://openrunshow.libsyn.com/rss
Julian,the love & sex report,http://feeds.feedburner.com/TheLoveSexReport
Julian,buzzfeeds internet explorer,http://feeds.soundcloud.com/users/soundcloud:users:141381463/sounds.rss
Julian,spontaneanation,http://rss.earwolf.com/spontaneanation-with-paul-f-tompkins
Julian,cbssports.com,http://podcasts.cstv.com/feeds/fantasybaseball.xml
Julian,third wheel podcast,http://thirdwheel.libsyn.com/rss
Julian,monocle,http://feeds.feedburner.com/Monocle24TheMonocleArtsReview
Julian,food as medicine,http://foodasmedicine.libsyn.com/rss
Julian,on air with ella,http://onairwithella.libsyn.com/rss
Julian,the amazing seller,http://theamazingseller.com/feed/podcast/
Julian,self directed investor,http://sdiradio.libsyn.com/rss
Julian,the drunken peasants,http://drunkenpeasants.podbean.com/feed/
Julian,the journey of succes,http://thejourneyofsuccess.libsyn.com/rss
Julian,CGP grey,http://cgpgrey.libsyn.com/rss
Julian,better call saul,http://movietouch.sony.com.edgesuite.net/podcasts/better_call_saul_v1/better_call_saul_insider_podcast.xml
Julian,tara stiles,http://podcasts.apple.com/eaas/us/author/stiles/stiles.xml
Julian,happier,http://feeds.feedburner.com/HappierWithGretchenRubin
Julian,ill name this podcast,http://feeds.soundcloud.com/users/soundcloud:users:138976584/sounds.rss
Julian,home of brave,http://homebrave.squarespace.com/home-of-the-brave?format=rss
Julian,monocle 24,http://feeds.feedburner.com/Monocle24TheRecap
Julian,real fan life,http://feeds.soundcloud.com/users/soundcloud:users:143587905/sounds.rss
Julian,not even beta,http://tbwa.podbean.com/feed/
Julian,WTF,http://wtfpod.libsyn.com/rss
Julian,Adam carolla,http://feeds.feedburner.com/TheAdamCarollaPodcast
Julian,mohr stories,http://www.podcastone.com/podcast?categoryID2=331
Julian,do it,http://doitpodcast.libsyn.com/rss
Julian,readitforme,http://readitforme.libsyn.com/rss
Julian,dan benjamin,http://danbenjamin.com/feed/video
Julian,grammar girl,http://www.qdnow.com/grammar.xml
Julian,call your gf,http://www.blogtalkradio.com/callyourgirlfriend/podcast
Julian,lady to lady,http://ladytolady.libsyn.com/rss
Julian,sex nerd,http://sexnerdsandra.libsyn.com/rss
Julian,chalene show,http://turbochargedlife.libsyn.com/rss
Julian,move the sticks,http://movethesticks.libsyn.com/rss
Julian,the moment,http://espn.go.com/espnradio/feeds/rss/podcast.xml?id=10401253
Julian,manager tools,http://www.manager-tools.com/feeds/mt_podcasts.xml
Julian,we have concerns,http://simplecast.fm/podcasts/1041/rss
Julian,the read,http://feeds.podtrac.com/eL1krEll7iB4
Julian,my brother,http://mbmbam.libsyn.com/rss
Julian,oh no ,http://feeds.feedburner.com/OhNoPodcast
Julian,girl on guy,http://girlonguy.libsyn.com/rss
Julian,grentland,http://sports.espn.go.com/espnradio/podcast/feeds/itunes/podCast?id=6907276
Julian,no such thing as fish,http://feeds.soundcloud.com/users/soundcloud:users:11400353/sounds.rss?#
Julian,dinner party,http://feeds.feedburner.com/dinnerpartydownload
Julian,vector,http://feeds.feedburner.com/vectorshow
Julian,a history of world,http://downloads.bbc.co.uk/podcasts/radio4/ahow/rss.xml
Julian,from scratch,http://www.fromscratchradio.org/show/feed
Julian,subway knits,http://subwayknitspodcast.libsyn.com/rss
Julian,woolful podcast,http://woolful.com/feed/podcast/
Julian,elise gets crafty,http://elisejoy.libsyn.com/rss
Julian,while she naps,http://abbyglassenberg.podbean.com/feed/
